,date,building_1,building_10,building_11,building_12,building_13a,building_13b,building_13c,building_13d,building_13e,building_13f,building_15,building_16,building_17,building_18,building_19,building_2,building_20,building_21,building_22,building_23,building_24,building_25,building_26,building_27,building_28,building_29,building_30,building_31,building_32,building_33,building_35,building_36,building_37,building_38,building_3a,building_3b,building_3d,building_3e,building_4,building_40,building_41,building_42,building_43,building_44,building_45,building_46,building_47,building_48,building_5,building_50,building_53,building_54,building_56,building_59,building_6,building_61,building_62,building_63,building_64,building_67,building_68,building_69,building_7,building_70,building_72,building_73,building_74,building_75,building_76,building_77,building_8,building_80,building_81,building_82,building_84,building_85,building_86,building_87,building_88,building_89,building_9,building_90
711,20150225,,,,,,,,,,,,,,,,,,,,,1319.59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,20150226,,,,,,,,,,,,,,,,,,,,,1018.57421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,20150227,,,,,,,,,,,,,,,,,,,,,1247.3046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,20150228,,,,,,,,,,,,,,,,,,,,,1004.15234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,20150301,,,,,,,,,,,,,,,,,,,,,1022.4921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,20150302,,,,,,,,,,,,,,,,,,,,,1138.47265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,20150303,,,,,,,,,,,,,,,,,,,,,1310.52734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,20150304,,,,,,,,,,,,,,,,,,,,,1224.51953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,20150305,,,,,,,,,,,,,,,,,,,,,1165.703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,20150306,,,,,,,,,,,,,,,,,,,,,1275.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,20150307,,,,,,,,,,,,,,,,,,,,,1112.40625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,20150308,,,,,,,,,,,,,,,,,,,,,987.59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,20150309,,,,,,,,,,,,,,,,,,,,,1364.41015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,20150310,,,,,,,,,,,,,,,,,,,,,1183.5078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,20150311,,,,,,,,,,,,,,,,,,,,,1292.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,20150312,,,,,,,,,,,,,,,,,,,,,1294.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,20150313,,,,,,,,,,,,,,,,,,,,,1048.8828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,20150314,,,,,,,,,,,,,,,,,,,,,739.5234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,20150315,,,,,,,,,,,,,,,,,,,,,811.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,20150316,,,,,,,,,,,,,,,,,,,,,1087.421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,20150317,,,,,,,,,,,,,,,,,,,,,1197.4765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,20150318,,,,,,,,,,,,,,,,,,,,,1232.53125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,20150319,,,,,,,,,,,,,,,,,,,,,1377.921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,20150320,,,,,,,,,,,,,,,,,,,,,1018.453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
